X ; Y ; Vx ; Vy ;
0.205748 ; 0.659169 ; 0.143631 ; -0.163616 ;
0.930738 ; 0.380505 ; 0.084071 ; 0.200828 ;
0.369747 ; 0.188818 ; 0.143046 ; 0.164127 ;
0.316256 ; 0.403394 ; -0.194965 ; -0.096895 ;
0.386868 ; 0.300241 ; -0.120150 ; 0.181560 ;
0.297601 ; 0.939634 ; 0.170036 ; 0.135970 ;
0.427610 ; 0.674703 ; 0.166780 ; -0.139945 ;
0.044839 ; 0.873440 ; -0.096722 ; -0.195051 ;
0.220946 ; 0.884610 ; 0.053573 ; -0.211021 ;
0.302087 ; 0.779046 ; 0.147750 ; -0.159906 ;
0.428274 ; 0.897641 ; 0.087685 ; 0.199277 ;
0.468123 ; 0.737175 ; -0.084802 ; -0.200521 ;
0.361278 ; 0.205420 ; -0.031262 ; -0.215459 ;
0.485954 ; 0.776452 ; -0.136030 ; 0.169988 ;
0.293321 ; 0.577654 ; 0.176281 ; 0.127769 ;
0.652638 ; 0.939756 ; 0.034996 ; -0.214884 ;
0.114879 ; 0.440779 ; 0.168467 ; 0.137908 ;
0.314791 ; 0.975646 ; -0.180494 ; -0.121746 ;
0.332461 ; 0.882076 ; 0.118781 ; -0.182458 ;
0.052622 ; 0.654744 ; 0.158342 ; -0.149425 ;
0.161390 ; 0.278390 ; 0.094449 ; -0.196161 ;
0.181509 ; 0.711295 ; 0.134953 ; 0.170844 ;
0.212386 ; 0.550340 ; 0.160202 ; -0.147429 ;
0.491859 ; 0.409284 ; 0.154528 ; -0.153366 ;
0.021767 ; 0.040834 ; 0.101014 ; -0.192863 ;
0.374989 ; 0.734184 ; -0.047939 ; 0.212372 ;
0.175489 ; 0.019288 ; 0.070144 ; -0.206106 ;
0.738197 ; 0.209052 ; 0.138648 ; 0.167860 ;
0.026940 ; 0.810419 ; -0.014638 ; 0.217223 ;
0.048822 ; 0.336131 ; -0.117000 ; 0.183605 ;
0.008515 ; 0.548021 ; -0.149637 ; -0.158141 ;
0.517319 ; 0.663167 ; -0.127153 ; 0.176726 ;
0.286775 ; 0.554155 ; 0.130701 ; -0.174118 ;
0.880291 ; 0.474899 ; 0.105386 ; -0.190509 ;
0.261483 ; 0.342814 ; 0.006943 ; -0.217605 ;
0.605396 ; 0.109317 ; -0.090622 ; -0.197959 ;
0.408544 ; 0.248939 ; 0.036617 ; -0.214614 ;
0.676580 ; 0.899289 ; 0.198938 ; 0.088450 ;
0.466315 ; 0.682333 ; 0.080722 ; -0.202198 ;
0.429922 ; 0.738731 ; 0.120934 ; -0.181039 ;
0.931974 ; 0.006378 ; -0.102516 ; -0.192069 ;
0.607273 ; 0.274148 ; -0.146913 ; -0.160675 ;
0.355556 ; 0.042329 ; -0.209742 ; 0.058380 ;
0.324519 ; 0.721061 ; -0.027142 ; 0.216017 ;
0.467734 ; 0.197821 ; 0.003807 ; -0.217682 ;
0.772576 ; 0.305307 ; 0.010013 ; 0.217485 ;
0.331294 ; 0.221015 ; 0.174873 ; 0.129690 ;
0.789468 ; 0.329569 ; 0.101572 ; -0.192570 ;
0.652821 ; 0.579394 ; 0.143471 ; 0.163756 ;
0.689627 ; 0.864650 ; 0.088682 ; 0.198835 ;
0.433699 ; 0.463729 ; -0.052125 ; -0.211384 ;
0.241661 ; 0.065950 ; -0.025880 ; -0.216172 ;
0.327036 ; 0.417005 ; -0.126130 ; 0.177458 ;
0.365101 ; 0.114994 ; -0.001176 ; -0.217712 ;
0.059946 ; 0.588183 ; 0.123113 ; 0.179564 ;
0.756188 ; 0.785546 ; -0.097958 ; 0.194433 ;
0.096019 ; 0.611316 ; 0.100403 ; -0.193182 ;
0.557924 ; 0.635273 ; -0.022451 ; 0.216555 ;
0.865734 ; 0.109256 ; -0.067340 ; -0.207039 ;
0.447134 ; 0.822047 ; 0.007236 ; 0.217595 ;
0.319849 ; 0.822779 ; -0.134940 ; -0.170854 ;
0.565935 ; 0.545366 ; -0.009282 ; 0.217517 ;
0.319712 ; 0.364177 ; 0.147099 ; 0.160505 ;
0.441023 ; 0.112735 ; 0.058650 ; -0.209667 ;
0.463752 ; 0.596545 ; 0.102170 ; -0.192253 ;
0.814508 ; 0.631184 ; 0.004990 ; -0.217658 ;
0.000916 ; 0.637379 ; -0.135830 ; 0.170147 ;
0.169858 ; 0.323496 ; 0.179896 ; 0.122628 ;
0.240562 ; 0.487625 ; -0.008498 ; 0.217549 ;
0.234085 ; 0.469710 ; -0.175378 ; 0.129007 ;
0.488929 ; 0.285562 ; -0.171059 ; 0.134681 ;
0.960860 ; 0.973571 ; -0.184959 ; 0.114849 ;
0.079402 ; 0.185705 ; -0.156866 ; 0.150973 ;
0.366840 ; 0.553850 ; -0.200985 ; -0.083696 ;
0.496735 ; 0.862728 ; 0.093373 ; -0.196676 ;
0.949553 ; 0.560808 ; 0.177982 ; -0.125389 ;
0.094485 ; 0.640309 ; 0.063234 ; -0.208330 ;
0.797159 ; 0.417585 ; -0.211456 ; -0.051828 ;
0.156880 ; 0.245125 ; -0.147046 ; -0.160554 ;
0.479133 ; 0.686575 ; 0.170182 ; 0.135787 ;
0.607639 ; 0.185675 ; 0.119884 ; 0.181736 ;
0.380848 ; 0.760887 ; -0.127844 ; 0.176227 ;
0.980087 ; 0.756279 ; -0.103831 ; -0.191361 ;
0.262604 ; 0.180700 ; 0.136375 ; -0.169711 ;
0.097896 ; 0.665883 ; 0.121598 ; -0.180593 ;
0.584933 ; 0.574755 ; 0.184068 ; -0.116270 ;
0.747673 ; 0.291971 ; -0.171564 ; 0.134037 ;
0.005928 ; 0.226630 ; -0.040537 ; 0.213908 ;
0.917280 ; 0.559618 ; -0.216892 ; -0.018923 ;
0.516495 ; 0.266213 ; -0.120362 ; -0.181419 ;
0.261528 ; 0.445235 ; 0.086144 ; -0.199948 ;
0.540391 ; 0.486190 ; 0.203590 ; -0.077145 ;
0.855892 ; 0.105533 ; 0.003847 ; 0.217681 ;
0.017739 ; 0.783319 ; 0.020086 ; -0.216787 ;
0.400922 ; 0.631428 ; 0.031488 ; -0.215426 ;
0.215567 ; 0.224830 ; 0.209078 ; -0.060716 ;
0.326556 ; 0.426923 ; 0.092031 ; -0.197308 ;
0.394032 ; 0.740043 ; -0.074237 ; 0.204668 ;
0.302889 ; 0.213050 ; -0.033547 ; -0.215115 ;
0.070154 ; 0.436476 ; 0.106316 ; 0.189992 ;
0.222755 ; 0.656850 ; 0.213981 ; -0.040150 ;
0.524735 ; 0.541490 ; 0.060856 ; 0.209037 ;
0.460273 ; 0.625050 ; 0.098622 ; 0.194097 ;
0.348689 ; 0.968566 ; 0.217064 ; -0.016826 ;
0.151135 ; 0.063143 ; -0.075433 ; 0.204230 ;
0.269059 ; 0.508744 ; 0.128415 ; -0.175811 ;
0.066630 ; 0.499435 ; -0.057547 ; 0.209972 ;
0.321200 ; 0.647053 ; 0.020272 ; 0.216770 ;
0.331385 ; 0.173528 ; 0.181025 ; 0.120954 ;
0.300165 ; 0.003845 ; 0.213343 ; 0.043412 ;
0.484947 ; 0.790643 ; -0.102290 ; 0.192189 ;
0.231887 ; 0.401379 ; 0.165983 ; 0.140889 ;
0.386959 ; 0.900296 ; 0.131711 ; -0.173356 ;
0.200209 ; 0.554979 ; 0.183670 ; -0.116899 ;
0.466315 ; 0.900296 ; 0.215377 ; 0.031826 ;
0.267823 ; 0.389599 ; 0.134807 ; -0.170959 ;
0.627735 ; 0.665609 ; 0.000764 ; -0.217714 ;
0.490967 ; 0.981231 ; -0.037295 ; 0.214497 ;
0.368877 ; 0.802301 ; -0.036617 ; -0.214614 ;
0.277711 ; 0.123173 ; -0.183497 ; 0.117170 ;
0.898877 ; 0.526414 ; 0.054038 ; 0.210902 ;
0.090228 ; 0.517716 ; -0.198819 ; -0.088719 ;
0.376385 ; 0.167821 ; -0.088523 ; -0.198906 ;
0.240585 ; 0.592181 ; 0.217423 ; -0.011279 ;
0.882168 ; 0.299356 ; 0.000299 ; -0.217715 ;
0.561037 ; 0.940611 ; 0.114010 ; -0.185477 ;
0.217009 ; 0.490371 ; 0.190699 ; -0.105041 ;
0.969283 ; 0.390057 ; -0.186181 ; -0.112856 ;
0.214995 ; 0.685904 ; 0.134316 ; -0.171346 ;
0.427816 ; 0.692068 ; 0.010584 ; 0.217458 ;
0.382199 ; 0.210547 ; 0.130090 ; -0.174576 ;
0.405911 ; 0.838954 ; 0.049215 ; -0.212080 ;
0.889904 ; 0.397259 ; -0.132801 ; -0.172522 ;
0.450453 ; 0.005280 ; 0.179630 ; -0.123017 ;
0.345233 ; 0.841395 ; -0.164826 ; 0.142240 ;
0.187071 ; 0.114353 ; -0.054145 ; 0.210875 ;
0.541993 ; 0.279397 ; 0.175776 ; -0.128463 ;
0.037629 ; 0.029450 ; 0.113280 ; 0.185924 ;
